file, author, a.occurenceRatio, a.referenceEntriesRatio, a.eldestRefDelta, a.newestRefDelta, a.firstOccurrenceRatio, isRealAuthor
../asiaccs-proceedings/combined/2010_p112-vu.pdf,J. Spencer,0.075,0.0625,10,10,0.1953548816053916,false
../asiaccs-proceedings/combined/2010_p112-vu.pdf,R. Liu,0.075,0.0625,7,7,0.08375583783096185,false
../asiaccs-proceedings/combined/2010_p112-vu.pdf,T. Vu,0.15,0.0625,1,1,0.5316348580322469,true
../asiaccs-proceedings/combined/2010_p112-vu.pdf,M. thesis,0.15,0.0625,1,1,0.5316348580322469,false
../asiaccs-proceedings/combined/2010_p112-vu.pdf,?Modeling,0.15,0.0625,1,1,0.5316348580322469,false
../asiaccs-proceedings/combined/2010_p112-vu.pdf,U. Calgary,0.15,0.0625,1,1,0.5316348580322469,false
../asiaccs-proceedings/combined/2010_p112-vu.pdf,a. Networks?,0.15,0.0625,1,1,0.5316348580322469,false
../asiaccs-proceedings/combined/2010_p112-vu.pdf,D. Science,0.15,0.0625,1,1,0.5316348580322469,false
../asiaccs-proceedings/combined/2010_p112-vu.pdf,I. Force,0.025,0.0625,11,11,0.8567175907037188,false
../asiaccs-proceedings/combined/2010_p112-vu.pdf,?. Method?,0.025,0.0625,11,11,0.8567175907037188,false
../asiaccs-proceedings/combined/2010_p112-vu.pdf,B. Yener,0.05,0.0625,3,3,0.2947718475712806,false
../asiaccs-proceedings/combined/2010_p112-vu.pdf,S. Camtepe,0.05,0.0625,3,3,0.2947718475712806,false
../asiaccs-proceedings/combined/2010_p112-vu.pdf,D. Huang,0.05,0.0625,6,6,0.2965163822711661,false
../asiaccs-proceedings/combined/2010_p112-vu.pdf,D. Medhi,0.05,0.0625,6,6,0.2965163822711661,false
../asiaccs-proceedings/combined/2010_p112-vu.pdf,M. Mehta,0.05,0.0625,6,6,0.2965163822711661,false
../asiaccs-proceedings/combined/2010_p112-vu.pdf,L. Harn,0.05,0.0625,6,6,0.2965163822711661,false
../asiaccs-proceedings/combined/2010_p112-vu.pdf,D. Stinson,0.05,0.0625,6,6,0.2947718475712806,false
../asiaccs-proceedings/combined/2010_p112-vu.pdf,C. Designs,0.05,0.0625,6,6,0.2947718475712806,false
../asiaccs-proceedings/combined/2010_p112-vu.pdf,A. Khalili,0.075,0.0625,7,7,0.08375583783096185,false
../asiaccs-proceedings/combined/2010_p112-vu.pdf,J. Katz,0.075,0.0625,7,7,0.08375583783096185,false
../asiaccs-proceedings/combined/2010_p112-vu.pdf,A. Panconesi,0.05,0.0625,2,2,0.6824425404596763,false
